"id","file","uploaded_at"
"1","sales_data/sales_-_Sheet1_tZ6LRYu.csv","2024-08-14 01:16:57.987409+01"
"2","sales_data/sales_-_Sheet1_m15fmnK.csv","2024-08-14 01:17:57.507045+01"
"3","sales_data/sales_-_Sheet1_OpjDjoL.csv","2024-08-14 01:18:06.709157+01"
"4","sales_data/sales_-_Sheet1_BVS2vH3.csv","2024-08-14 01:20:47.610368+01"
